index,prediction
554,[[11.420808]]
555,[[9.433337]]
556,[[10.225495]]
557,[[10.51961]]
558,[[9.737237]]
559,[[10.3303]]
560,[[7.9991183]]
561,[[10.186059]]
562,[[9.134198]]
563,[[9.665065]]
564,[[11.3693495]]
565,[[8.836233]]
566,[[10.833464]]
567,[[14.524746]]
568,[[7.0924473]]
569,[[11.112524]]
570,[[10.097938]]
571,[[10.107773]]
572,[[10.18869]]
573,[[8.121187]]
574,[[8.922315]]
575,[[18.706936]]
576,[[10.39187]]
577,[[13.318367]]
578,[[18.924648]]
579,[[16.109518]]
580,[[26.123606]]
581,[[14.684649]]
582,[[22.672144]]
583,[[19.335459]]
584,[[22.871014]]
585,[[16.22949]]
586,[[18.273193]]
587,[[12.005774]]
588,[[12.292234]]
589,[[14.060125]]
590,[[14.852169]]
591,[[16.135445]]
592,[[21.035849]]
593,[[18.842398]]
594,[[16.793495]]
595,[[19.368885]]
596,[[13.918797]]
597,[[16.417837]]
598,[[15.073283]]
599,[[21.204111]]
600,[[17.186535]]
601,[[19.942373]]
602,[[18.857698]]
603,[[16.803125]]
604,[[13.062523]]
605,[[13.202094]]
606,[[11.848287]]
607,[[17.384092]]
608,[[18.05468]]
609,[[19.241875]]
610,[[20.30378]]
611,[[18.820787]]
612,[[20.551565]]
613,[[9.808279]]
614,[[11.2681465]]
615,[[13.085318]]
616,[[17.144121]]
617,[[9.018215]]
618,[[7.887012]]
619,[[7.458811]]
620,[[8.076406]]
621,[[9.308806]]
622,[[8.437424]]
623,[[9.194532]]
624,[[7.7454143]]
625,[[6.9826474]]
626,[[4.859259]]
627,[[6.6946034]]
628,[[6.6824794]]
629,[[6.2169304]]
630,[[7.1618237]]
631,[[7.1232195]]
632,[[4.1851416]]
633,[[9.4581995]]
634,[[7.176202]]
635,[[7.131086]]
636,[[5.386866]]
637,[[6.4044266]]
638,[[6.027431]]
639,[[5.6594973]]
640,[[6.3798857]]
641,[[4.7808414]]
642,[[4.526371]]
643,[[8.224554]]
644,[[5.4530435]]
645,[[6.5102987]]
646,[[10.736235]]
647,[[7.3034897]]
648,[[7.323183]]
649,[[7.516772]]
650,[[8.573888]]
651,[[6.674482]]
652,[[9.58639]]
653,[[8.787316]]
654,[[9.038371]]
655,[[7.978243]]
656,[[10.107174]]
657,[[11.590123]]
658,[[6.6097374]]
659,[[10.954104]]
660,[[11.581905]]
661,[[9.456753]]
662,[[9.589115]]
663,[[8.543312]]
664,[[10.897866]]
665,[[9.070656]]
666,[[8.4296465]]
667,[[9.111922]]
668,[[8.358527]]
669,[[8.643222]]
670,[[9.02489]]
671,[[7.615621]]
672,[[6.986841]]
673,[[7.2066174]]
674,[[12.764445]]
675,[[11.123417]]
676,[[11.87645]]
677,[[12.017109]]
678,[[11.982472]]
679,[[9.848941]]
680,[[11.225795]]
681,[[11.150482]]
682,[[11.758864]]
683,[[11.95439]]
684,[[11.966763]]
685,[[10.375031]]
686,[[11.803133]]
687,[[11.5335655]]
688,[[11.343842]]
689,[[12.963162]]
690,[[11.250672]]
691,[[10.3972435]]
692,[[7.9144325]]
693,[[10.338188]]
694,[[11.050262]]
695,[[11.029534]]
696,[[11.433803]]
697,[[11.809222]]
698,[[13.350508]]
699,[[13.63434]]
700,[[9.627011]]
701,[[11.154171]]
702,[[10.025921]]
703,[[9.408664]]
704,[[11.743004]]
705,[[14.477196]]
706,[[12.15246]]
707,[[13.376369]]
708,[[13.755351]]
709,[[12.408749]]
710,[[14.724672]]
711,[[13.010445]]
712,[[13.10782]]
713,[[12.446437]]
714,[[13.946465]]
715,[[12.365526]]
716,[[16.798748]]
717,[[16.849714]]
718,[[14.800049]]
719,[[14.19362]]
720,[[15.4318075]]
721,[[15.64909]]
722,[[15.469416]]
723,[[17.950413]]
724,[[14.54529]]
725,[[14.450778]]
726,[[14.575814]]
727,[[14.853386]]
728,[[13.797857]]
729,[[14.507028]]
730,[[12.326094]]
731,[[14.827354]]
732,[[14.436798]]
733,[[13.351555]]
734,[[13.816248]]
735,[[12.202396]]
736,[[11.731696]]
737,[[12.621959]]
738,[[12.944386]]
739,[[13.456429]]
740,[[14.56213]]
741,[[13.1114235]]
742,[[14.139793]]
743,[[14.723986]]
744,[[18.353851]]
745,[[18.584324]]
746,[[15.64339]]
747,[[15.32644]]
748,[[17.098751]]
749,[[15.038615]]
750,[[12.404076]]
751,[[15.159688]]
752,[[13.14506]]
753,[[13.50287]]
754,[[15.5085]]
755,[[18.072454]]
756,[[14.469902]]
757,[[14.762725]]
758,[[16.267494]]
759,[[13.666086]]
760,[[19.728893]]
761,[[17.18451]]
762,[[15.23197]]
763,[[16.348475]]
764,[[14.964635]]
765,[[17.856678]]
766,[[17.961987]]
767,[[15.7325115]]
768,[[16.680206]]
769,[[17.057718]]
770,[[15.749826]]
771,[[14.313475]]
772,[[15.174338]]
773,[[14.670998]]
774,[[15.255628]]
775,[[13.691268]]
776,[[13.773173]]
777,[[14.730714]]
778,[[13.688078]]
779,[[14.949019]]
780,[[14.645121]]
781,[[13.915406]]
782,[[12.340266]]
783,[[12.906484]]
784,[[13.148795]]
785,[[11.465377]]
786,[[13.479333]]
787,[[13.318998]]
788,[[13.514099]]
789,[[14.258656]]
790,[[14.57365]]
791,[[14.98926]]
792,[[13.797021]]
793,[[12.234282]]
794,[[13.262408]]
795,[[13.984146]]
796,[[13.487502]]
797,[[13.439752]]
798,[[13.321587]]
799,[[13.777323]]
800,[[11.176457]]
801,[[9.75108]]
802,[[14.509583]]
803,[[12.100672]]
804,[[13.268429]]
805,[[17.49321]]
806,[[16.200964]]
807,[[14.181256]]
808,[[18.13955]]
809,[[12.442959]]
810,[[13.592438]]
811,[[17.89091]]
812,[[12.007335]]
813,[[11.701601]]
814,[[8.922796]]
815,[[12.248702]]
816,[[14.967405]]
817,[[13.307063]]
818,[[13.28079]]
819,[[14.887756]]
820,[[14.463058]]
821,[[8.785382]]
822,[[7.4128838]]
823,[[3.286299]]
824,[[5.450402]]
825,[[8.8989315]]
826,[[7.811539]]
827,[[6.3498764]]
828,[[9.00479]]
829,[[4.1717167]]
830,[[3.5564754]]
831,[[4.05263]]
832,[[4.098605]]
833,[[3.4164922]]
834,[[5.428341]]
835,[[3.9410274]]
836,[[7.7231727]]
837,[[5.622001]]
838,[[8.457485]]
839,[[5.82499]]
840,[[7.4774203]]
841,[[7.865284]]
842,[[7.3456273]]
843,[[11.05832]]
844,[[9.620706]]
845,[[9.72376]]
846,[[11.155627]]
847,[[10.33899]]
848,[[10.147582]]
849,[[13.417437]]
850,[[11.732786]]
851,[[11.430014]]
852,[[11.348851]]
853,[[9.743737]]
854,[[10.661051]]
855,[[9.582199]]
856,[[10.540726]]
857,[[10.047687]]
858,[[9.48773]]
859,[[11.874251]]
860,[[10.506089]]
861,[[10.33535]]
862,[[9.3792305]]
863,[[9.887439]]
864,[[8.503669]]
865,[[6.8133173]]
866,[[8.900411]]
867,[[6.90795]]
868,[[7.3705277]]
869,[[6.5472784]]
870,[[7.597029]]
871,[[8.1227665]]
872,[[6.0812726]]
873,[[5.6496596]]
874,[[5.1181755]]
875,[[7.8200755]]
876,[[6.4810243]]
877,[[9.538543]]
878,[[7.716789]]
879,[[7.7692986]]
880,[[7.549974]]
881,[[6.101226]]
882,[[5.8641634]]
883,[[7.0233517]]
884,[[6.2669883]]
885,[[5.665364]]
886,[[7.2803044]]
887,[[7.586994]]
888,[[8.617196]]
889,[[6.4974265]]
890,[[6.874046]]
891,[[7.8099093]]
892,[[9.336205]]
893,[[10.135597]]
894,[[7.9205356]]
895,[[7.75355]]
896,[[9.050422]]
897,[[9.413709]]
898,[[7.9900765]]
899,[[9.363213]]
900,[[9.314261]]
901,[[8.93182]]
902,[[9.49911]]
903,[[9.699967]]
904,[[11.075699]]
905,[[9.11139]]
906,[[9.3607645]]
907,[[8.852029]]
908,[[8.026193]]
909,[[8.161545]]
910,[[7.3617926]]
911,[[6.513994]]
912,[[6.745163]]
913,[[6.4178095]]
914,[[6.973326]]
915,[[8.214689]]
916,[[10.617332]]
917,[[9.762685]]
918,[[12.201816]]
919,[[10.054719]]
920,[[8.1258135]]
921,[[7.4942436]]
922,[[7.294456]]
923,[[8.960747]]
924,[[10.763895]]
925,[[11.359949]]
926,[[11.975616]]
927,[[12.099715]]
928,[[13.151499]]
929,[[12.370864]]
930,[[13.148952]]
931,[[11.383874]]
932,[[11.496232]]
933,[[10.785714]]
934,[[11.323499]]
935,[[11.169402]]
936,[[13.789221]]
937,[[12.497771]]
938,[[11.434559]]
939,[[11.693231]]
940,[[13.802673]]
941,[[13.538215]]
942,[[11.209729]]
943,[[13.24534]]
944,[[12.913072]]
945,[[17.21889]]
946,[[15.521563]]
947,[[14.29611]]
948,[[14.712005]]
949,[[14.680492]]
950,[[12.637638]]
951,[[14.502718]]
952,[[13.889492]]
953,[[13.219951]]
954,[[13.084332]]
955,[[13.579776]]
956,[[14.384332]]
957,[[13.613033]]
958,[[12.254516]]
959,[[12.186907]]
960,[[12.977104]]
961,[[12.180045]]
962,[[11.308296]]
963,[[12.726654]]
964,[[10.836351]]
965,[[9.621241]]
966,[[10.7942295]]
967,[[9.871032]]
968,[[9.543027]]
969,[[10.253435]]
970,[[8.859258]]
971,[[7.4166784]]
972,[[9.180206]]
973,[[10.113447]]
974,[[10.61781]]
975,[[7.6116443]]
976,[[7.8303547]]
977,[[7.6597333]]
978,[[8.215962]]
979,[[8.244262]]
980,[[8.816509]]
981,[[8.847155]]
982,[[11.473248]]
983,[[12.824524]]
984,[[13.633133]]
985,[[10.041319]]
986,[[13.673356]]
987,[[10.780785]]
988,[[13.37529]]
989,[[13.253476]]
990,[[11.048393]]
991,[[10.172896]]
992,[[8.770703]]
993,[[9.493631]]
994,[[11.65014]]
995,[[13.563944]]
996,[[14.330879]]
997,[[12.761275]]
998,[[11.628885]]
999,[[17.206654]]
1000,[[14.750388]]
1001,[[13.842399]]
1002,[[12.048539]]
1003,[[13.460105]]
1004,[[12.224671]]
1005,[[11.304038]]
1006,[[11.734389]]
1007,[[10.42934]]
1008,[[11.677857]]
1009,[[11.447917]]
1010,[[11.979714]]
1011,[[11.29904]]
1012,[[12.50186]]
1013,[[13.278081]]
1014,[[12.15826]]
1015,[[9.190118]]
1016,[[8.488711]]
1017,[[10.266882]]
1018,[[10.831863]]
1019,[[7.462171]]
1020,[[9.731769]]
1021,[[8.80893]]
1022,[[9.065333]]
1023,[[9.142971]]
1024,[[10.596066]]
1025,[[10.705835]]
1026,[[12.104645]]
1027,[[11.088635]]
1028,[[7.749021]]
1029,[[10.130015]]
1030,[[9.252528]]
1031,[[7.8321223]]
1032,[[7.978986]]
1033,[[9.513877]]
1034,[[8.8428545]]
1035,[[10.230712]]
1036,[[10.764658]]
1037,[[12.081408]]
1038,[[10.741824]]
1039,[[11.384731]]
1040,[[9.614658]]
1041,[[12.016257]]
1042,[[12.593749]]
1043,[[13.318956]]
1044,[[13.736431]]
1045,[[13.67937]]
1046,[[10.191722]]
1047,[[13.071828]]
1048,[[13.464113]]
1049,[[12.082456]]
1050,[[12.574913]]
1051,[[12.672065]]
1052,[[12.621441]]
1053,[[10.777531]]
1054,[[12.3762665]]
1055,[[10.618763]]
1056,[[11.135823]]
1057,[[13.3024235]]
1058,[[10.833533]]
1059,[[9.2144985]]
1060,[[12.622489]]
1061,[[12.7775135]]
1062,[[14.883742]]
1063,[[14.417578]]
1064,[[11.175141]]
1065,[[12.125224]]
1066,[[11.914808]]
1067,[[11.715841]]
1068,[[14.502251]]
1069,[[15.240171]]
1070,[[15.235516]]
1071,[[11.160785]]
1072,[[12.141222]]
1073,[[12.26658]]
1074,[[12.843374]]
1075,[[13.227909]]
1076,[[14.103946]]
1077,[[9.152762]]
1078,[[10.02275]]
1079,[[7.805263]]
1080,[[9.868808]]
1081,[[9.5660095]]
1082,[[8.349449]]
1083,[[10.718293]]
1084,[[8.572086]]
1085,[[11.339179]]
1086,[[12.712414]]
1087,[[12.433655]]
1088,[[13.014357]]
1089,[[12.51672]]
1090,[[16.736502]]
1091,[[15.514639]]
1092,[[14.648944]]
1093,[[15.664031]]
1094,[[16.71339]]
1095,[[18.482817]]
1096,[[15.259841]]
1097,[[15.0041275]]
1098,[[13.078194]]
1099,[[12.4404955]]
1100,[[10.747524]]
1101,[[9.548436]]
1102,[[7.3312764]]
1103,[[10.347462]]
1104,[[13.327735]]
1105,[[8.679493]]
1106,[[15.2628765]]
1107,[[12.922777]]
1108,[[13.676286]]
1109,[[13.930212]]
1110,[[12.948211]]
1111,[[13.882271]]
1112,[[13.119836]]
1113,[[12.211833]]
1114,[[12.322153]]
1115,[[15.285255]]
1116,[[14.507616]]
1117,[[15.244867]]
1118,[[12.51849]]
1119,[[9.307644]]
1120,[[6.9817915]]
1121,[[8.090306]]
1122,[[13.139401]]
1123,[[11.3590765]]
1124,[[10.559471]]
1125,[[12.642193]]
1126,[[18.167608]]
1127,[[17.174618]]
1128,[[9.007475]]
1129,[[4.2679048]]
1130,[[2.9191551]]
1131,[[3.2629075]]
1132,[[6.3727565]]
1133,[[5.896651]]
1134,[[2.5300405]]
1135,[[6.893133]]
1136,[[2.1721706]]
1137,[[14.528542]]
1138,[[4.4448266]]
1139,[[2.8114886]]
1140,[[2.3720489]]
1141,[[7.660209]]
1142,[[6.8602414]]
1143,[[16.533575]]
1144,[[12.736109]]
1145,[[3.8166497]]
1146,[[6.0024133]]
1147,[[7.97327]]
1148,[[6.213901]]
1149,[[2.5526752]]
1150,[[4.0260367]]
1151,[[1.5262139]]
1152,[[2.9219801]]
1153,[[9.1678095]]
1154,[[7.43259]]
1155,[[9.38523]]
1156,[[10.222621]]
1157,[[8.466615]]
1158,[[9.260184]]
1159,[[8.104728]]
1160,[[11.474544]]
1161,[[15.777091]]
1162,[[8.868247]]
1163,[[5.996634]]
1164,[[9.603346]]
1165,[[11.660837]]
1166,[[10.95313]]
1167,[[7.306393]]
1168,[[9.862898]]
1169,[[4.481472]]
1170,[[8.629312]]
1171,[[7.6473327]]
1172,[[8.134429]]
1173,[[7.0419707]]
1174,[[12.251922]]
1175,[[15.570234]]
1176,[[13.474606]]
1177,[[14.752008]]
1178,[[13.136442]]
1179,[[12.063204]]
1180,[[13.008872]]
1181,[[16.180372]]
1182,[[11.654847]]
1183,[[13.796871]]
1184,[[13.423401]]
1185,[[18.517168]]
1186,[[15.509352]]
1187,[[13.741313]]
1188,[[16.972008]]
1189,[[10.410595]]
1190,[[14.0934515]]
1191,[[16.779734]]
1192,[[10.679086]]
1193,[[7.2528353]]
1194,[[4.9644]]
1195,[[4.476692]]
1196,[[3.8541086]]
1197,[[1.5219593]]
1198,[[1.1747162]]
1199,[[1.6371937]]
1200,[[1.4686368]]
1201,[[-0.244797]]
1202,[[0.6652916]]
1203,[[2.5744433]]
1204,[[8.418957]]
1205,[[10.922173]]
1206,[[6.9693217]]
1207,[[9.834747]]
1208,[[11.325245]]
1209,[[12.690159]]
1210,[[14.508024]]
1211,[[18.30078]]
1212,[[21.019903]]
1213,[[21.083982]]
1214,[[22.832268]]
1215,[[18.731037]]
1216,[[18.99045]]
1217,[[16.3477]]
1218,[[19.509192]]
1219,[[21.8069]]
1220,[[22.565962]]
1221,[[22.557299]]
1222,[[23.630163]]
1223,[[16.84165]]
1224,[[13.039766]]
1225,[[12.160346]]
1226,[[10.38992]]
1227,[[7.515131]]
1228,[[9.025334]]
1229,[[12.050062]]
1230,[[10.815794]]
1231,[[7.8546276]]
1232,[[2.8664412]]
1233,[[6.590622]]
1234,[[2.4208958]]
1235,[[11.604304]]
1236,[[10.683842]]
1237,[[12.005035]]
